File,Sample,Factor
/data/PTBP1_ARTR_paper/Input_R1.tiny.bam,Input_R1,bg
/data/PTBP1_ARTR_paper/Input_R2.tiny.bam,Input_R2,bg
/data/PTBP1_ARTR_paper/Input_R3.tiny.bam,Input_R3,bg
/data/PTBP1_ARTR_paper/PTBP1_R1_tiny.bam,PTBP1_R1,clip
/data/PTBP1_ARTR_paper/PTBP1_R2_tiny.bam,PTBP1_R2,clip
